doc_id,doc_type,text
DOC-TAN-00012,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Clark-Perry
PIN: A86853255595B
Date: 2025-01-28
Reference: KRA/yM/5255/6234

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 4,682,654.88 for the period ending 2026-04-22.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00013,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Johnson, Miles and Willis
PIN: A65423324714B
Date: 2025-10-02
Reference: KRA/CN/7073/8950

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 42,382,343.60 for the period ending 2025-11-02.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00014,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Mclean, Pittman and Travis
PIN: A69774558384B
Date: 2025-10-22
Reference: KRA/pf/0665/8581

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 40,366,057.25 for the period ending 2025-10-31.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00015,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Phillips, Brown and Hughes
PIN: A12261484098B
Date: 2025-08-20
Reference: KRA/Dq/5373/8813

Pursuant to Section 58 of the East African Customs Management Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 26,834,593.17 for the period ending 2025-10-31.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00016,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Lewis, Rodriguez and Herrera
PIN: A97207411361B
Date: 2024-07-03
Reference: KRA/jg/0757/3594

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 27,624,429.53 for the period ending 2026-03-04.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00017,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Dickson-Davis
PIN: A04409353579B
Date: 2024-07-24
Reference: KRA/uP/3903/3944

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 44,278,314.81 for the period ending 2025-08-26.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00018,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Harper-Marsh
PIN: A17376853222B
Date: 2025-11-11
Reference: KRA/us/6798/3819

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 9,654,815.08 for the period ending 2026-03-12.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00019,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Braun, Nicholson and Giles
PIN: A83847148820B
Date: 2025-12-20
Reference: KRA/tY/0415/3796

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 33,080,102.76 for the period ending 2026-02-05.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00020,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Johnson-Cruz
PIN: A83053703496B
Date: 2025-01-11
Reference: KRA/Mt/5256/4801

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 42,773,120.16 for the period ending 2026-06-01.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00021,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Watts, Mendez and Sims
PIN: A09328005090B
Date: 2024-08-03
Reference: KRA/np/5749/8340

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 13,934,781.48 for the period ending 2026-05-09.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00022,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Davis Group
PIN: A12856307684B
Date: 2025-04-08
Reference: KRA/Dz/8188/0266

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 8,174,572.15 for the period ending 2026-02-08.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00023,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Johnson, Allen and Jones
PIN: A78514595244B
Date: 2025-11-17
Reference: KRA/Ia/5534/4197

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 33,525,249.96 for the period ending 2025-10-18.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00024,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: King-Wilkinson
PIN: A19399669469B
Date: 2024-11-25
Reference: KRA/Lz/3343/6561

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 32,419,367.49 for the period ending 2025-10-28.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00025,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Vasquez, Stevens and Ballard
PIN: A86093166091B
Date: 2025-04-05
Reference: KRA/oF/3810/1324

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 8,598,375.48 for the period ending 2025-07-29.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00026,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Gomez-Wyatt
PIN: A99792468902B
Date: 2024-08-25
Reference: KRA/SW/2516/8330

Pursuant to Section 58 of the East African Customs Management Act, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 8,211,954.56 for the period ending 2026-03-28.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00027,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Craig-Kelley
PIN: A70157996975B
Date: 2024-10-26
Reference: KRA/uh/2332/5725

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 49,476,691.36 for the period ending 2025-12-25.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00028,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Fleming, Gibson and Walker
PIN: A25283550156B
Date: 2025-12-26
Reference: KRA/BK/5452/9422

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 27,869,639.70 for the period ending 2026-04-10.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00029,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Collins, Lucas and Parker
PIN: A29602240588B
Date: 2025-12-25
Reference: KRA/AP/7311/5923

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 42,150,453.41 for the period ending 2025-08-14.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00030,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Bennett-Dunn
PIN: A44481767563B
Date: 2025-07-01
Reference: KRA/Hq/3314/9454

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 41,099,039.57 for the period ending 2025-08-20.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00031,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Maxwell-Wright
PIN: A43839397570B
Date: 2024-08-06
Reference: KRA/eL/2466/6046

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 13,423,656.75 for the period ending 2026-06-23.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00032,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Williams, Harding and Mcgee
PIN: A48281108663B
Date: 2025-01-25
Reference: KRA/ws/1654/4842

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 43,824,562.94 for the period ending 2025-07-13.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00033,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Martin-Simpson
PIN: A53891269263B
Date: 2026-04-23
Reference: KRA/kB/8485/7269

Pursuant to Section 58 of the East African Customs Management Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 32,789,161.33 for the period ending 2026-03-17.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00034,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Johnson and Sons
PIN: A07918393149B
Date: 2026-03-07
Reference: KRA/gT/6890/8941

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 22,969,650.04 for the period ending 2025-10-07.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00035,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Joseph, Rose and Rivera
PIN: A01173223011B
Date: 2025-12-24
Reference: KRA/Zc/1157/8420

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 12,369,044.01 for the period ending 2026-06-23.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00036,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Velez-Little
PIN: A00428988538B
Date: 2025-03-04
Reference: KRA/qQ/4322/1895

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 13,173,943.35 for the period ending 2026-03-31.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00037,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Marquez and Sons
PIN: A29104614365B
Date: 2025-03-27
Reference: KRA/Dk/5949/4989

Pursuant to Section 58 of the East African Customs Management Act, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 44,896,253.04 for the period ending 2026-02-07.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00038,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Bishop, Wilson and Brooks
PIN: A39031421846B
Date: 2025-03-18
Reference: KRA/Rm/6365/1591

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 11,005,071.92 for the period ending 2026-06-04.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00039,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Smith Ltd
PIN: A34360301134B
Date: 2026-01-12
Reference: KRA/dm/1870/6236

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 24,701,115.95 for the period ending 2026-01-11.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00040,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Young-Porter
PIN: A52394000598B
Date: 2026-05-05
Reference: KRA/zO/7842/6739

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 7,684,423.90 for the period ending 2025-08-30.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00041,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Fowler Inc
PIN: A62791174740B
Date: 2025-03-16
Reference: KRA/hM/5363/9104

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 21,136,890.34 for the period ending 2026-03-24.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00042,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Rowe-Weber
PIN: A39759556484B
Date: 2024-07-19
Reference: KRA/gq/6497/3323

Pursuant to Section 58 of the East African Customs Management Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 19,111,883.36 for the period ending 2025-11-11.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00043,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Phillips-Stokes
PIN: A85039343553B
Date: 2025-09-07
Reference: KRA/KM/0220/4489

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 12,608,135.29 for the period ending 2025-12-13.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00044,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Jones, Byrd and Johnson
PIN: A89716658292B
Date: 2024-07-15
Reference: KRA/qH/4009/6588

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 34,030,156.34 for the period ending 2026-01-06.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00045,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Washington-Jackson
PIN: A87949430020B
Date: 2025-08-10
Reference: KRA/xI/5399/7773

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 44,245,183.08 for the period ending 2025-08-08.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00046,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Campbell-Fitzgerald
PIN: A51334684864B
Date: 2024-11-24
Reference: KRA/eW/5876/0631

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 17,041,764.88 for the period ending 2025-08-17.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00047,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Davis and Sons
PIN: A18789021686B
Date: 2025-10-08
Reference: KRA/hO/6166/4153

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 7,949,979.83 for the period ending 2025-07-26.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00048,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Duke LLC
PIN: A12741967579B
Date: 2026-02-12
Reference: KRA/dJ/4649/3481

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 43,798,854.37 for the period ending 2026-03-30.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00049,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Ramos, Wells and Thompson
PIN: A77657703003B
Date: 2024-07-05
Reference: KRA/Ej/2464/6010

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 38,110,011.84 for the period ending 2025-10-15.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00050,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Becker-Nguyen
PIN: A46025331479B
Date: 2024-08-03
Reference: KRA/Rh/8194/6433

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 43,532,402.56 for the period ending 2026-04-24.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00051,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Wilson-Johnson
PIN: A80994430376B
Date: 2024-12-29
Reference: KRA/ad/0308/7835

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 25,407,760.95 for the period ending 2025-07-25.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00052,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Martinez, Fox and Black
PIN: A16080614126B
Date: 2025-02-27
Reference: KRA/Ji/2474/9587

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 18,726,996.94 for the period ending 2025-09-14.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00053,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Blanchard Group
PIN: A27079761469B
Date: 2026-06-20
Reference: KRA/Xu/9712/0455

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 47,677,312.40 for the period ending 2025-10-16.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00054,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Ewing PLC
PIN: A22404710273B
Date: 2024-10-24
Reference: KRA/mA/3586/7657

Pursuant to Section 58 of the East African Customs Management Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 29,967,281.99 for the period ending 2026-05-28.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00055,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Thompson, Morrison and Miller
PIN: A77025685381B
Date: 2024-12-16
Reference: KRA/Fd/9238/7232

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 5,637,792.88 for the period ending 2025-07-12.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00056,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Lopez, Jones and Jenkins
PIN: A71414632116B
Date: 2025-09-25
Reference: KRA/nu/2628/2402

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 12,010,642.90 for the period ending 2026-05-16.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00057,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Wright-Walton
PIN: A03499664671B
Date: 2025-03-16
Reference: KRA/Tz/3941/4772

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 47,350,124.79 for the period ending 2025-11-01.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00058,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Harrison Inc
PIN: A26712162260B
Date: 2025-05-22
Reference: KRA/YN/4367/0389

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 24,325,223.64 for the period ending 2026-02-24.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00059,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: George-Murphy
PIN: A71634549459B
Date: 2025-07-08
Reference: KRA/BT/8331/8312

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 38,303,429.74 for the period ending 2025-09-23.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00060,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Bernard, Jones and Alexander
PIN: A34692625666B
Date: 2025-11-05
Reference: KRA/dg/9428/9830

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 23,790,354.79 for the period ending 2026-05-09.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00061,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Garcia and Sons
PIN: A62236995036B
Date: 2025-12-01
Reference: KRA/Cv/5664/1819

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 13,289,578.62 for the period ending 2026-02-22.

You are required to pay the assessed amount within thirty (30) days of this notice."
