case_id,case_type,disputed_amount,court_level,taxpayer_category,legal_grounds,case_duration_days,prior_compliance_score,representation,num_prior_disputes,taxpayer_risk_score,outcome
KRA-CASE-00021,VAT,9738234.88,Tax Appeals Tribunal,SME,Input Tax Credit,1799,93,Self-Represented,3,7,0
KRA-CASE-00022,Excise Duty,72834948.16,High Court,Individual,Double Taxation,419,68,Legal Counsel,13,23,1
KRA-CASE-00023,Customs Duty,46289675.44,High Court,Individual,Incorrect Assessment,133,83,Tax Consultant,0,11,1
KRA-CASE-00024,Income Tax,16672795.5,Tax Appeals Tribunal,Individual,Valuation Dispute,150,21,Legal Counsel,12,33,0
KRA-CASE-00025,Excise Duty,28560660.43,High Court,Large Corporation,Input Tax Credit,347,24,Legal Counsel,1,74,1
KRA-CASE-00026,Withholding Tax,54242410.38,High Court,Individual,Input Tax Credit,1059,67,Self-Represented,2,23,0
KRA-CASE-00027,VAT,59523758.89,High Court,Individual,Incorrect Assessment,1196,31,Legal Counsel,1,79,1
KRA-CASE-00028,VAT,41951530.29,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,448,85,Legal Counsel,7,33,1
KRA-CASE-00029,Excise Duty,13131284.3,High Court,SME,Incorrect Assessment,49,58,Legal Counsel,3,9,1
KRA-CASE-00030,PAYE,21354773.51,Tax Appeals Tribunal,Multinational,Incorrect Assessment,530,47,Legal Counsel,14,69,1
KRA-CASE-00031,Withholding Tax,30286588.44,Court of Appeal,Large Corporation,Procedural Error,1397,70,Legal Counsel,3,17,1
KRA-CASE-00032,Customs Duty,11587095.61,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,607,77,Legal Counsel,10,26,1
KRA-CASE-00033,Withholding Tax,63442083.99,Tax Appeals Tribunal,SME,Procedural Error,219,81,Legal Counsel,8,5,1
KRA-CASE-00034,VAT,33388976.03,Tax Appeals Tribunal,Multinational,Statute of Limitations,1548,56,Legal Counsel,13,71,0
KRA-CASE-00035,VAT,11231794.36,Court of Appeal,Large Corporation,Statute of Limitations,1147,4,Tax Consultant,4,55,0
KRA-CASE-00036,Income Tax,4230794.37,Tax Appeals Tribunal,Multinational,Procedural Error,762,26,Legal Counsel,3,45,1
KRA-CASE-00037,PAYE,88419263.41,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,514,20,Tax Consultant,5,52,0
KRA-CASE-00038,VAT,17977098.31,Court of Appeal,Large Corporation,Valuation Dispute,1672,85,Tax Consultant,7,34,1
KRA-CASE-00039,Income Tax,78748082.19,Tax Appeals Tribunal,Multinational,Input Tax Credit,485,25,Tax Consultant,14,44,0
KRA-CASE-00040,Customs Duty,82062611.28,High Court,Individual,Double Taxation,846,42,Legal Counsel,2,98,1
KRA-CASE-00041,Customs Duty,35147055.6,Tax Appeals Tribunal,Large Corporation,Exemption Claim,86,14,Tax Consultant,8,22,0
KRA-CASE-00042,PAYE,96255304.86,Tax Appeals Tribunal,Individual,Valuation Dispute,737,93,Tax Consultant,13,77,1
KRA-CASE-00043,PAYE,11608796.11,High Court,Individual,Procedural Error,1481,55,Self-Represented,6,46,1
KRA-CASE-00044,Excise Duty,7043882.42,High Court,SME,Exemption Claim,1388,15,Legal Counsel,9,64,0
KRA-CASE-00045,Customs Duty,66705945.77,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,422,53,Legal Counsel,12,86,1
KRA-CASE-00046,Withholding Tax,90285414.3,High Court,SME,Procedural Error,652,36,Legal Counsel,10,59,1
KRA-CASE-00047,Excise Duty,44243871.94,Tax Appeals Tribunal,SME,Statute of Limitations,1379,10,Legal Counsel,10,11,1
KRA-CASE-00048,Income Tax,67295927.27,Tax Appeals Tribunal,Individual,Procedural Error,124,31,Tax Consultant,2,58,1
KRA-CASE-00049,Excise Duty,88619384.06,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,1042,51,Legal Counsel,0,96,1
KRA-CASE-00050,VAT,77853119.66,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,132,71,Legal Counsel,3,58,1
KRA-CASE-00051,Income Tax,80151589.34,High Court,Multinational,Exemption Claim,1576,56,Legal Counsel,13,70,0
KRA-CASE-00052,Excise Duty,89725949.92,High Court,SME,Transfer Pricing Dispute,1569,31,Tax Consultant,8,98,1
KRA-CASE-00053,PAYE,48485471.86,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,510,34,Legal Counsel,2,17,0
KRA-CASE-00054,Income Tax,23164584.9,High Court,Large Corporation,Incorrect Assessment,879,52,Legal Counsel,14,53,1
KRA-CASE-00055,VAT,20723097.23,Tax Appeals Tribunal,Multinational,Procedural Error,1784,97,Legal Counsel,15,0,1
KRA-CASE-00056,Customs Duty,29896334.6,Tax Appeals Tribunal,Multinational,Valuation Dispute,1132,95,Legal Counsel,7,62,1
KRA-CASE-00057,Income Tax,27329884.41,Tax Appeals Tribunal,SME,Valuation Dispute,1513,21,Tax Consultant,4,79,0
KRA-CASE-00058,PAYE,2745296.87,Tax Appeals Tribunal,SME,Procedural Error,201,82,Legal Counsel,14,23,1
KRA-CASE-00059,VAT,26052623.58,Tax Appeals Tribunal,SME,Exemption Claim,1588,48,Legal Counsel,13,32,1
KRA-CASE-00060,VAT,47057168.28,High Court,Individual,Exemption Claim,489,83,Self-Represented,1,96,0
KRA-CASE-00061,VAT,94963692.68,Tax Appeals Tribunal,Individual,Statute of Limitations,518,16,Legal Counsel,3,72,0
KRA-CASE-00062,Income Tax,46530146.64,Tax Appeals Tribunal,SME,Incorrect Assessment,1622,20,Tax Consultant,3,74,0
KRA-CASE-00063,VAT,92892272.48,Tax Appeals Tribunal,Multinational,Valuation Dispute,842,91,Self-Represented,7,13,1
KRA-CASE-00064,Withholding Tax,77259464.45,High Court,Large Corporation,Incorrect Assessment,1660,72,Tax Consultant,11,68,1
KRA-CASE-00065,Excise Duty,66169058.0,Tax Appeals Tribunal,Large Corporation,Procedural Error,1769,53,Tax Consultant,3,55,1
KRA-CASE-00066,Customs Duty,63576731.35,High Court,Large Corporation,Valuation Dispute,390,93,Legal Counsel,8,78,1
KRA-CASE-00067,PAYE,77475412.96,Tax Appeals Tribunal,Large Corporation,Transfer Pricing Dispute,690,31,Tax Consultant,2,35,1
KRA-CASE-00068,Excise Duty,24424150.75,Tax Appeals Tribunal,Large Corporation,Valuation Dispute,718,3,Legal Counsel,10,23,0
KRA-CASE-00069,Excise Duty,21251379.03,High Court,SME,Transfer Pricing Dispute,1168,1,Legal Counsel,6,10,1
KRA-CASE-00070,Income Tax,72021462.68,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,1352,91,Legal Counsel,0,11,0
KRA-CASE-00071,Customs Duty,22198560.23,High Court,SME,Exemption Claim,999,70,Legal Counsel,13,95,1
KRA-CASE-00072,PAYE,33112590.15,High Court,SME,Transfer Pricing Dispute,502,15,Legal Counsel,10,15,1
KRA-CASE-00073,Withholding Tax,53609603.34,High Court,Individual,Double Taxation,1542,61,Legal Counsel,9,12,1
KRA-CASE-00074,Income Tax,29659834.0,Tax Appeals Tribunal,SME,Statute of Limitations,591,5,Tax Consultant,9,89,1
KRA-CASE-00075,Income Tax,63805072.03,High Court,Individual,Procedural Error,1205,36,Legal Counsel,14,43,1
KRA-CASE-00076,Income Tax,96551489.43,Tax Appeals Tribunal,Multinational,Incorrect Assessment,1713,8,Legal Counsel,2,73,1
KRA-CASE-00077,Withholding Tax,68660779.27,Tax Appeals Tribunal,Large Corporation,Transfer Pricing Dispute,204,31,Self-Represented,13,77,1
KRA-CASE-00078,PAYE,79084545.94,Tax Appeals Tribunal,SME,Input Tax Credit,936,38,Tax Consultant,13,39,1
KRA-CASE-00079,PAYE,62121680.74,High Court,Large Corporation,Double Taxation,1311,27,Legal Counsel,2,20,1
KRA-CASE-00080,Income Tax,17422664.16,Tax Appeals Tribunal,Individual,Input Tax Credit,1441,76,Legal Counsel,1,29,1
KRA-CASE-00081,Customs Duty,70710235.2,High Court,SME,Double Taxation,571,100,Tax Consultant,6,54,1
KRA-CASE-00082,VAT,54479009.75,High Court,Multinational,Statute of Limitations,176,7,Self-Represented,9,76,1
KRA-CASE-00083,Withholding Tax,82432818.12,Court of Appeal,SME,Input Tax Credit,1440,38,Legal Counsel,8,64,1
KRA-CASE-00084,PAYE,49404832.17,Tax Appeals Tribunal,Individual,Valuation Dispute,1534,41,Legal Counsel,0,11,1
KRA-CASE-00085,Income Tax,96193014.66,High Court,SME,Procedural Error,1596,86,Tax Consultant,1,97,1
KRA-CASE-00086,Income Tax,47076557.28,High Court,Multinational,Statute of Limitations,1228,55,Legal Counsel,15,11,1
KRA-CASE-00087,Excise Duty,34828707.58,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,705,52,Legal Counsel,9,84,1
KRA-CASE-00088,Excise Duty,81365925.17,Tax Appeals Tribunal,SME,Exemption Claim,546,41,Self-Represented,12,65,0
KRA-CASE-00089,VAT,65783155.63,Tax Appeals Tribunal,SME,Double Taxation,1091,46,Legal Counsel,15,80,0
KRA-CASE-00090,Excise Duty,76011054.08,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,927,89,Legal Counsel,0,80,1
KRA-CASE-00091,PAYE,79941407.64,High Court,SME,Procedural Error,1161,52,Self-Represented,3,59,1
KRA-CASE-00092,VAT,64788583.39,Tax Appeals Tribunal,Multinational,Transfer Pricing Dispute,1072,90,Legal Counsel,15,60,1
KRA-CASE-00093,Income Tax,45705807.95,Tax Appeals Tribunal,Individual,Statute of Limitations,1799,8,Legal Counsel,13,43,0
KRA-CASE-00094,PAYE,26753907.67,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,1802,19,Legal Counsel,15,44,1
KRA-CASE-00095,Customs Duty,55214145.84,Tax Appeals Tribunal,SME,Exemption Claim,1810,24,Tax Consultant,7,73,1
KRA-CASE-00096,Excise Duty,23394566.48,High Court,Individual,Input Tax Credit,1474,48,Legal Counsel,4,63,1
KRA-CASE-00097,VAT,12668314.67,Court of Appeal,SME,Incorrect Assessment,1820,56,Self-Represented,14,1,1
KRA-CASE-00098,Withholding Tax,14458333.83,High Court,Multinational,Incorrect Assessment,991,100,Tax Consultant,10,79,1
KRA-CASE-00099,Withholding Tax,39778458.22,Tax Appeals Tribunal,SME,Valuation Dispute,678,80,Legal Counsel,15,69,1
KRA-CASE-00100,VAT,61765073.19,Tax Appeals Tribunal,Large Corporation,Transfer Pricing Dispute,495,95,Self-Represented,3,97,1
KRA-CASE-00101,Withholding Tax,70403888.39,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,89,5,Legal Counsel,1,37,1
KRA-CASE-00102,Customs Duty,37515366.92,Tax Appeals Tribunal,SME,Statute of Limitations,378,22,Self-Represented,12,79,0
KRA-CASE-00103,Withholding Tax,24120937.7,Court of Appeal,Individual,Input Tax Credit,1336,32,Legal Counsel,0,59,1
KRA-CASE-00104,Customs Duty,67777208.03,Tax Appeals Tribunal,SME,Exemption Claim,1233,38,Legal Counsel,13,88,1
KRA-CASE-00105,Customs Duty,45710739.48,Tax Appeals Tribunal,Multinational,Input Tax Credit,248,30,Legal Counsel,11,73,0
KRA-CASE-00106,Customs Duty,99269569.76,Tax Appeals Tribunal,Multinational,Valuation Dispute,592,1,Legal Counsel,1,77,1
KRA-CASE-00107,Withholding Tax,49697892.29,Court of Appeal,SME,Double Taxation,1273,45,Legal Counsel,6,79,1
KRA-CASE-00108,Customs Duty,67792557.64,High Court,Large Corporation,Statute of Limitations,1316,12,Tax Consultant,1,39,0
KRA-CASE-00109,Excise Duty,3384784.9,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,699,95,Legal Counsel,6,16,1
KRA-CASE-00110,PAYE,87652236.64,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1730,21,Legal Counsel,15,37,1
KRA-CASE-00111,Withholding Tax,87046176.08,High Court,SME,Incorrect Assessment,318,96,Tax Consultant,12,71,1
KRA-CASE-00112,Customs Duty,9075772.41,Tax Appeals Tribunal,SME,Incorrect Assessment,961,47,Legal Counsel,8,74,1
KRA-CASE-00113,Excise Duty,82250609.26,Court of Appeal,Individual,Double Taxation,995,3,Legal Counsel,10,78,0
KRA-CASE-00114,Income Tax,64782855.44,High Court,SME,Transfer Pricing Dispute,1359,52,Self-Represented,1,4,1
KRA-CASE-00115,Customs Duty,99592941.11,Tax Appeals Tribunal,Individual,Statute of Limitations,825,58,Legal Counsel,13,75,1
KRA-CASE-00116,Withholding Tax,72673585.1,High Court,Large Corporation,Input Tax Credit,1290,52,Tax Consultant,8,4,1
KRA-CASE-00117,Withholding Tax,37084469.38,Tax Appeals Tribunal,Multinational,Exemption Claim,233,87,Legal Counsel,11,7,1
KRA-CASE-00118,Excise Duty,27624350.01,Court of Appeal,Multinational,Input Tax Credit,217,84,Legal Counsel,0,6,1
KRA-CASE-00119,Customs Duty,24394711.27,Tax Appeals Tribunal,SME,Incorrect Assessment,1729,97,Legal Counsel,6,29,1
KRA-CASE-00120,Customs Duty,77448139.35,High Court,SME,Transfer Pricing Dispute,1788,18,Tax Consultant,8,22,1
KRA-CASE-00121,VAT,66122711.38,Tax Appeals Tribunal,Individual,Double Taxation,1235,41,Self-Represented,8,6,1
KRA-CASE-00122,Income Tax,74184719.79,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,948,99,Legal Counsel,3,57,1
KRA-CASE-00123,PAYE,22193898.15,High Court,Large Corporation,Transfer Pricing Dispute,968,82,Tax Consultant,1,61,1
KRA-CASE-00124,Excise Duty,42656048.25,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,180,10,Legal Counsel,4,8,1
KRA-CASE-00125,Income Tax,27537849.16,High Court,SME,Exemption Claim,810,76,Legal Counsel,14,64,1
KRA-CASE-00126,PAYE,43048422.62,High Court,Individual,Double Taxation,910,57,Tax Consultant,13,43,1
KRA-CASE-00127,Excise Duty,39903081.92,High Court,SME,Exemption Claim,1392,32,Legal Counsel,4,87,0
KRA-CASE-00128,Excise Duty,6759974.15,High Court,Individual,Incorrect Assessment,1554,94,Legal Counsel,4,71,0
KRA-CASE-00129,VAT,58667185.02,Tax Appeals Tribunal,SME,Incorrect Assessment,871,45,Tax Consultant,13,92,1
KRA-CASE-00130,VAT,96841442.6,High Court,SME,Double Taxation,346,84,Legal Counsel,3,44,1
KRA-CASE-00131,PAYE,36787727.01,High Court,SME,Valuation Dispute,1760,71,Tax Consultant,0,77,1
KRA-CASE-00132,Withholding Tax,82954605.96,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,725,44,Self-Represented,4,72,0
KRA-CASE-00133,Withholding Tax,40108395.18,Tax Appeals Tribunal,Large Corporation,Procedural Error,217,95,Legal Counsel,12,53,1
KRA-CASE-00134,Excise Duty,34122553.38,Tax Appeals Tribunal,Large Corporation,Incorrect Assessment,137,19,Self-Represented,1,86,0
KRA-CASE-00135,VAT,27246679.21,High Court,SME,Input Tax Credit,878,34,Legal Counsel,3,44,0
KRA-CASE-00136,Excise Duty,11133432.73,High Court,SME,Transfer Pricing Dispute,123,28,Legal Counsel,1,0,1
KRA-CASE-00137,Income Tax,30176865.23,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,622,41,Self-Represented,15,95,0
KRA-CASE-00138,Excise Duty,17610695.45,Tax Appeals Tribunal,Large Corporation,Exemption Claim,177,50,Tax Consultant,1,55,1
KRA-CASE-00139,VAT,46002437.32,Tax Appeals Tribunal,SME,Valuation Dispute,1204,51,Legal Counsel,13,37,1
KRA-CASE-00140,VAT,40532979.09,Court of Appeal,Individual,Input Tax Credit,1733,88,Tax Consultant,2,55,0
KRA-CASE-00141,VAT,24369481.66,Tax Appeals Tribunal,SME,Valuation Dispute,1812,39,Legal Counsel,7,42,0
KRA-CASE-00142,Income Tax,7684118.78,High Court,SME,Double Taxation,1619,44,Legal Counsel,4,30,1
KRA-CASE-00143,VAT,14687099.62,Tax Appeals Tribunal,Large Corporation,Incorrect Assessment,392,98,Legal Counsel,14,96,1
KRA-CASE-00144,PAYE,75999721.1,Tax Appeals Tribunal,Multinational,Exemption Claim,1799,80,Legal Counsel,14,8,1
KRA-CASE-00145,Excise Duty,44248695.98,Tax Appeals Tribunal,SME,Procedural Error,750,64,Self-Represented,14,57,1
KRA-CASE-00146,VAT,5736160.58,High Court,Individual,Incorrect Assessment,1289,76,Legal Counsel,14,74,1
KRA-CASE-00147,PAYE,95425436.1,High Court,Individual,Double Taxation,688,77,Legal Counsel,4,7,1
KRA-CASE-00148,Excise Duty,10395012.63,High Court,SME,Incorrect Assessment,1063,82,Self-Represented,7,90,1
KRA-CASE-00149,Excise Duty,99099052.96,Tax Appeals Tribunal,Large Corporation,Exemption Claim,793,36,Legal Counsel,10,86,1
KRA-CASE-00150,PAYE,5283933.48,High Court,SME,Exemption Claim,223,71,Legal Counsel,9,32,1
KRA-CASE-00151,Withholding Tax,85164047.69,Court of Appeal,Large Corporation,Statute of Limitations,712,10,Legal Counsel,4,44,0
KRA-CASE-00152,Customs Duty,96771265.94,High Court,SME,Incorrect Assessment,664,71,Legal Counsel,10,16,1
KRA-CASE-00153,Withholding Tax,70297945.67,Court of Appeal,Multinational,Incorrect Assessment,1353,85,Legal Counsel,11,2,1
KRA-CASE-00154,Customs Duty,30921163.7,Court of Appeal,SME,Input Tax Credit,423,28,Tax Consultant,4,9,1
KRA-CASE-00155,Customs Duty,84450617.45,Tax Appeals Tribunal,Large Corporation,Procedural Error,1385,43,Tax Consultant,4,76,0
KRA-CASE-00156,Excise Duty,15467563.49,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,1506,56,Self-Represented,11,86,0
KRA-CASE-00157,Withholding Tax,23791143.63,Tax Appeals Tribunal,SME,Input Tax Credit,509,68,Legal Counsel,15,24,1
KRA-CASE-00158,Customs Duty,67846767.17,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1623,48,Legal Counsel,13,20,1
KRA-CASE-00159,Income Tax,80135859.45,Tax Appeals Tribunal,SME,Input Tax Credit,1820,47,Legal Counsel,3,91,1
KRA-CASE-00160,PAYE,85124046.51,Tax Appeals Tribunal,Large Corporation,Transfer Pricing Dispute,950,65,Self-Represented,13,11,1
KRA-CASE-00161,Income Tax,81679490.42,High Court,Multinational,Valuation Dispute,139,50,Legal Counsel,7,49,1
KRA-CASE-00162,VAT,37522521.71,Tax Appeals Tribunal,Multinational,Exemption Claim,1650,18,Self-Represented,9,60,1
KRA-CASE-00163,Withholding Tax,83119493.07,High Court,SME,Procedural Error,192,2,Legal Counsel,4,70,1
KRA-CASE-00164,Withholding Tax,60907565.91,Tax Appeals Tribunal,Large Corporation,Double Taxation,646,15,Self-Represented,13,81,0
KRA-CASE-00165,PAYE,45738505.98,Tax Appeals Tribunal,Multinational,Procedural Error,1324,65,Legal Counsel,4,37,1
KRA-CASE-00166,Excise Duty,206355.38,Tax Appeals Tribunal,SME,Statute of Limitations,1390,85,Self-Represented,11,8,0
KRA-CASE-00167,PAYE,54430991.89,High Court,SME,Procedural Error,829,60,Self-Represented,12,47,1
KRA-CASE-00168,Customs Duty,74744293.33,Tax Appeals Tribunal,Individual,Double Taxation,1531,84,Legal Counsel,10,17,1
KRA-CASE-00169,VAT,35262289.66,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,1454,61,Legal Counsel,4,8,1
KRA-CASE-00170,Withholding Tax,77630230.45,Tax Appeals Tribunal,SME,Procedural Error,1650,25,Tax Consultant,10,39,1
KRA-CASE-00171,PAYE,39852494.37,High Court,SME,Procedural Error,1572,82,Self-Represented,11,99,1
KRA-CASE-00172,VAT,86586537.79,Tax Appeals Tribunal,Individual,Exemption Claim,924,51,Legal Counsel,12,43,1
KRA-CASE-00173,Income Tax,49645512.49,Tax Appeals Tribunal,Multinational,Transfer Pricing Dispute,1670,10,Legal Counsel,2,55,1
KRA-CASE-00174,PAYE,99510061.58,Tax Appeals Tribunal,SME,Incorrect Assessment,193,41,Legal Counsel,9,57,1
KRA-CASE-00175,PAYE,71780407.99,Tax Appeals Tribunal,SME,Input Tax Credit,116,93,Tax Consultant,11,78,1
KRA-CASE-00176,Excise Duty,27491808.24,Court of Appeal,Multinational,Incorrect Assessment,1404,81,Legal Counsel,5,3,1
KRA-CASE-00177,Income Tax,84874497.53,High Court,SME,Statute of Limitations,167,30,Tax Consultant,11,46,1
KRA-CASE-00178,Excise Duty,94949237.83,Tax Appeals Tribunal,Individual,Input Tax Credit,789,47,Legal Counsel,2,73,1
KRA-CASE-00179,Income Tax,52969515.16,Tax Appeals Tribunal,Large Corporation,Double Taxation,262,3,Legal Counsel,15,66,0
KRA-CASE-00180,Excise Duty,91358573.46,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,469,78,Legal Counsel,15,25,1
KRA-CASE-00181,VAT,13616055.35,Tax Appeals Tribunal,Individual,Input Tax Credit,209,87,Tax Consultant,10,85,0
KRA-CASE-00182,Customs Duty,70968571.66,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1773,20,Legal Counsel,5,46,1
KRA-CASE-00183,PAYE,22462949.44,Court of Appeal,Large Corporation,Double Taxation,1648,63,Self-Represented,11,59,0
KRA-CASE-00184,PAYE,13020634.41,High Court,Individual,Valuation Dispute,1498,92,Legal Counsel,13,98,0
KRA-CASE-00185,Excise Duty,82342772.98,Tax Appeals Tribunal,Multinational,Incorrect Assessment,951,59,Legal Counsel,11,16,1
KRA-CASE-00186,PAYE,63997403.24,Tax Appeals Tribunal,Multinational,Valuation Dispute,1059,7,Tax Consultant,4,38,1
KRA-CASE-00187,Income Tax,16238597.61,Court of Appeal,Individual,Transfer Pricing Dispute,1762,10,Legal Counsel,8,16,1
KRA-CASE-00188,Withholding Tax,30317319.38,Tax Appeals Tribunal,SME,Statute of Limitations,1242,74,Self-Represented,10,72,0
KRA-CASE-00189,VAT,82532364.92,Tax Appeals Tribunal,Individual,Transfer Pricing Dispute,1363,26,Tax Consultant,13,79,1
KRA-CASE-00190,Withholding Tax,3077075.56,High Court,SME,Transfer Pricing Dispute,1019,31,Tax Consultant,12,38,1
KRA-CASE-00191,Excise Duty,7343653.9,Tax Appeals Tribunal,SME,Input Tax Credit,981,26,Legal Counsel,4,40,1
KRA-CASE-00192,Withholding Tax,31965673.45,Court of Appeal,SME,Valuation Dispute,297,97,Legal Counsel,3,40,1
KRA-CASE-00193,Income Tax,46673933.08,Tax Appeals Tribunal,Individual,Incorrect Assessment,133,37,Tax Consultant,13,31,0
KRA-CASE-00194,Income Tax,81357110.75,Court of Appeal,Large Corporation,Double Taxation,1592,20,Legal Counsel,14,63,1
KRA-CASE-00195,Customs Duty,49762158.79,Tax Appeals Tribunal,SME,Input Tax Credit,523,27,Legal Counsel,1,6,1
KRA-CASE-00196,Customs Duty,49514675.64,High Court,Large Corporation,Input Tax Credit,615,68,Self-Represented,3,55,1
KRA-CASE-00197,Income Tax,88251450.31,High Court,Large Corporation,Exemption Claim,122,51,Self-Represented,6,46,0
KRA-CASE-00198,PAYE,28895739.62,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1720,79,Legal Counsel,3,16,1
KRA-CASE-00199,VAT,39420676.09,High Court,SME,Exemption Claim,1576,18,Self-Represented,12,64,1
KRA-CASE-00200,VAT,4578070.08,Tax Appeals Tribunal,SME,Input Tax Credit,1093,58,Self-Represented,4,41,1
KRA-CASE-00201,PAYE,31887076.67,Tax Appeals Tribunal,Large Corporation,Transfer Pricing Dispute,1245,43,Legal Counsel,15,90,1
KRA-CASE-00202,PAYE,30014066.95,High Court,SME,Incorrect Assessment,883,74,Legal Counsel,0,76,1
KRA-CASE-00203,Excise Duty,26589767.18,High Court,Multinational,Double Taxation,1507,6,Legal Counsel,5,67,1
KRA-CASE-00204,Withholding Tax,72132224.38,High Court,SME,Double Taxation,94,73,Tax Consultant,3,24,0
KRA-CASE-00205,VAT,44131804.69,Tax Appeals Tribunal,SME,Double Taxation,870,64,Tax Consultant,15,94,0
KRA-CASE-00206,Withholding Tax,6275014.54,Tax Appeals Tribunal,Individual,Exemption Claim,1386,61,Legal Counsel,10,22,1
KRA-CASE-00207,Excise Duty,91216809.88,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,1279,61,Self-Represented,7,35,1
KRA-CASE-00208,PAYE,29884991.16,Court of Appeal,Multinational,Transfer Pricing Dispute,1473,26,Legal Counsel,15,40,1
KRA-CASE-00209,Excise Duty,34912877.26,Court of Appeal,Large Corporation,Transfer Pricing Dispute,619,15,Legal Counsel,12,50,1
KRA-CASE-00210,Customs Duty,95463155.9,High Court,SME,Transfer Pricing Dispute,1492,10,Legal Counsel,14,83,1
KRA-CASE-00211,Customs Duty,74746483.05,Tax Appeals Tribunal,Large Corporation,Transfer Pricing Dispute,1181,89,Legal Counsel,3,78,1
KRA-CASE-00212,Withholding Tax,58703708.33,Tax Appeals Tribunal,Large Corporation,Double Taxation,1336,29,Self-Represented,13,42,1
KRA-CASE-00213,Withholding Tax,47266770.51,High Court,Individual,Statute of Limitations,863,83,Tax Consultant,15,61,1
